"User-ID";"Location";"Age"
"21404";"west vancouver, british columbia, canada";NULL
"21484";"madison, wisconsin, usa";"21"
"21659";"san jose, california, usa";"31"
"21931";"princeton, west virginia, usa";NULL
"22088";"henderson, nevada, usa";"45"
"22187";"budapest, budapest, hungary";NULL
"22252";"elmhurst, new york, usa";"38"
"22504";"auburn, california, usa";"33"
"22625";"lynbrook, new york, usa";"54"
"22818";"franklin, pennsylvania, usa";"28"
"22936";"raleigh, north carolina, usa";"23"
"23768";"st. louis, missouri, usa";"45"
"23871";"pompano beach, florida, usa";NULL
"23872";"tulsa, oklahoma, usa";"22"
"23902";"london, england, united kingdom";NULL
"23997";"jacksonville, florida, usa";"35"
"24933";"long island, new york, usa";"44"
"25225";"houston, texas, usa";"55"
"25373";"ferndale, washington, usa";NULL
"25409";"la mesa, california, usa";"31"
"25601";"gilbert, arizona, usa";"41"
"25677";"houston, texas, usa";NULL
"25850";"mastic beach, new york, usa";"50"
"25930";"hillsborough, new jersey, usa";NULL
"25981";"nj, new jersey, usa";NULL
"26070";"houston, texas, usa";"14"
"26196";"fall river, massachusetts, usa";"17"
"26371";"vancouver, british columbia, canada";"65"
"26518";"yardley, pennsylvania, usa";NULL
"26535";"hickory, mississippi, usa";"41"
"26538";"rawlins, wyoming, usa";"32"
"26544";"woodbridge, virginia, usa";"37"
"26553";"charlottesville, virginia, usa";NULL
"26593";"peoria, arizona, usa";NULL
"26620";"napa, california,";NULL
"26730";"herculaneum, missouri, usa";"13"
"26883";"vienna, vienna, austria";NULL
"27472";"bountiful, utah, usa";"41"
"27597";"charlottesville, virginia, usa";"28"
"27617";"beaverton, ontario, canada";"32"
"27788";"picton, marlborough, new zealand";NULL
"27821";"milton, new york, usa";"25"
"28025";"scottsdale, arizona, usa";"33"
"28139";"new york, new york, usa";NULL
"28204";"south ohio, nova scotia, canada";"61"
"28360";"oakwood, georgia, usa";"15"
"28523";"springfield, missouri, usa";"24"
"28591";"michie, tennessee, usa";"33"
"28594";"thunder bay, ontario, canada";"18"
"28634";"bad axe, michigan, usa";"28"
"28667";"norwood, massachusetts, usa";"26"
"28809";"nelson, england, united kingdom";"38"
"28865";"paoli, pennsylvania, usa";"39"
"28938";"asheville, north carolina, usa";"38"
"29080";"reading, massachusetts, usa";NULL
"29101";"bolivar, missouri, usa";"38"
"29259";"mt. airy, , usa";"39"
"29419";"norcross, georgia, usa";NULL
"29975";"brainerd, minnesota, usa";"20"
"30029";"simi valley, california, usa";"37"
"30052";"minneapolis, minnesota, usa";NULL
"30125";"knox, indiana, usa";"15"
"30131";"college station, texas, usa";"25"
"30210";"apple creek, ohio, usa";"27"
"30273";"naples, florida, usa";"25"
"30276";"wildwood, new jersey, usa";"49"
"30333";"ogallala, nebraska, usa";NULL
"30359";"alexandria, virginia, usa";NULL
"30487";"newbury park, california, usa";"40"
"30511";"culemborg, gelderland, netherlands";NULL
"30531";"st. petersburg, florida, usa";"23"
"30594";"redding, , usa";"25"
"30711";"sydney, new south wales, australia";"32"
"30716";"new york, new york, usa";"23"
"30972";"columbiana, alabama, usa";"47"
"30985";"cape coral, florida, usa";NULL
"30994";"mission hills, california, usa";NULL
"31100";"ingleside, texas, usa";NULL
"31172";"cleveland, ohio, usa";"48"
"31308";"san jose, california, usa";"38"
"31315";"henryville, indiana, usa";"34"
"31362";"los angeles, california, usa";NULL
"31375";"san diego, california, usa";NULL
"31391";"wilmington, massachusetts, usa";"38"
"31393";"portland, oregon, usa";NULL
"31556";"chula vista, california, usa";"51"
"31609";"pinehurst, north carolina, usa";"44"
"31652";"annandale, virginia, usa";NULL
"31681";"london, england, united kingdom";NULL
"31735";"aurora, ohio, usa";NULL
"31818";"stratford, connecticut, usa";"35"
"31820";"morin heights, quebec, canada";"33"
"31826";"jasper, missouri, usa";"54"
"31900";"levittown, new york, usa";"12"
"31919";"skokie, illinois, usa";"52"
"31948";"sullivan, missouri, usa";"49"
"32087";"elmer, new jersey, usa";"60"
"32122";"south daytona, florida, usa";"24"
"32195";"fall river, massachusetts, usa";NULL
"32217";"lafayette, louisiana, usa";"17"
"32402";"iowa park, texas, usa";NULL
"32440";"dunedin, otago, new zealand";NULL
"32516";"st. rose, louisiana, usa";"44"
"32773";"olathe, kansas, usa";"28"
"32817";"townsville, queensland, australia";NULL
"32964";"south lyon, michigan, usa";"37"
"33282";"west haven, connecticut, usa";NULL
"33283";"winnipeg, manitoba, canada";"26"
"33487";"adelaide, south australia, australia";"26"
"33816";"richmond hill, ontario, canada";"33"
"33818";"winnipeg, manitoba, canada";"29"
"33832";"sterling, virginia, usa";NULL
"33862";"abingdon, maryland, usa";NULL
"34087";"brantford, ,";NULL
"34349";"brisbane, queensland, australia";"48"
"34397";"vallejo, california, usa";"25"
"34501";"bryant, arkansas, usa";"46"
"34600";"brooklin, ontario, canada";"37"
"34740";"sidney, ohio, usa";"17"
"34752";"bristow, virginia, usa";"26"
"34823";"velpke, niedersachsen, germany";"21"
"35050";"west columbia, south carolina, usa";"33"
"35073";"east islip, new york, usa";NULL
"35097";"immenstadt, bayern, germany";"25"
"35270";"burlington, connecticut, usa";"36"
"35518";"greenfield, massachusetts, usa";NULL
"35704";"kansas city, missouri, usa";"53"
"35836";"rochester, new york, usa";"34"
"35857";"mentor, ohio, usa";"36"
"35859";"duluth, minnesota, usa";NULL
"35996";"lafayette, indiana, usa";"48"
"36141";"claremont, california, usa";NULL
"36200";"hilo, hawaii, usa";"54"
"36256";"amarillo, texas, usa";"39"
"36299";"austin, texas, usa";"50"
"36327";"wirtz, virginia, usa";NULL
"36606";"san marcos, california, usa";"39"
"36609";"zachary, louisiana, usa";"32"
"36817";"south hadley, massachusetts, usa";"29"
"36836";"raleigh, north carolina, usa";"56"
"36907";"dunnville, ontario, canada";"39"
"36992";"perth, western australia, australia";NULL
"37239";"the colony, texas, usa";NULL
"37250";"sunnyvale, california, usa";"43"
"37311";"oroville, california, usa";NULL
"37400";"portland, oregon, usa";"27"
"37493";"auxvasse, missouri, usa";NULL
"37536";"bryan, texas, usa";"47"
"37597";"cherry valley, california, usa";"25"
"37644";"sudbury, massachusetts, usa";"18"
"37712";"cincinnati, ohio, usa";"23"
"37950";"calgary, alberta, canada";NULL
"38023";"hayward, california, usa";"30"
"38034";"ocala, florida, usa";"26"
"38074";"merida, yucatan, mexico";"19"
"38176";"harleysville, pennsylvania, usa";NULL
"38544";"newark, delaware, usa";"34"
"38590";"memphis, tennessee, usa";"31"
"38601";"wentzville, missouri, usa";"54"
"38654";"kitchener, ontario, canada";"17"
"38781";"kingsville, texas, usa";"31"
"38899";"richmond, british columbia, canada";NULL
"38933";"san diego, california, usa";"37"
"39281";"morris plains, new jersey, usa";"45"
"39284";"redmond, washington, usa";NULL
"39345";"jacksonville, florida, usa";"47"
"39374";"altoona, wisconsin, usa";NULL
"39467";"barcelona, catalunya, spain";"35"
"39492";"london, ontario, canada";"36"
"39646";"fairless hills, pennsylvania, usa";"35"
"39773";"miami, florida, usa";"49"
"40104";"burnaby, british columbia, canada";NULL
"40222";"san diego, california, usa";"33"
"40316";"mason, michigan, usa";"59"
"40415";"san francisco, california, usa";"34"
"40617";"shelton, washington, usa";"42"
"40889";"brainerd, minnesota, usa";"37"
"40943";"oklahoma city, oklahoma, usa";"40"
"41084";"orlando, florida, usa";"36"
"41117";"warwick, rhode island, usa";"34"
"41385";"sudbury, ontario, canada";NULL
"41404";"staten island, new york, usa";NULL
"41589";"bellingham, washington, usa";"51"
"41757";"calgary, alberta, canada";"58"
"41841";"sherwood park, alberta, canada";NULL
"42198";"watervliet, new york, usa";NULL
"42459";"lethbridge, alberta, canada";"29"
"42466";"toronto, ontario, canada";"38"
"42739";"dublin, n/a, ireland";NULL
"42935";"kelowna, british columbia, canada";"31"
"43004";"fresno, california, usa";"45"
"43093";"chambersburg, pennsylvania, usa";"22"
"43246";"toronto, ontario, canada";"36"
"43359";"sterling, virginia, usa";"33"
"43392";"north hollywood, california, usa";NULL
"43542";"eugene, oregon, usa";"21"
"43619";"shrewsbury, massachusetts, usa";"26"
"43678";"la jolla, california, usa";NULL
"43687";"sacramento, california, usa";"27"
"43806";"delano, minnesota, usa";"31"
"43824";"helsinki, uusimaa, finland";"23"
"43842";"tucson, ,";NULL
"43920";"san diego, california, usa";"29"
"44252";"fairview, new jersey, usa";"28"
"44269";"port orchard, washington, usa";"57"
"44404";"huntington, new york, usa";NULL
"44535";"warrensburg, missouri, usa";"20"
"44728";"florence, alabama, usa";"31"
"45255";"peachtree city, georgia, usa";"35"
"45315";"ada, michigan, usa";NULL
"45369";"north bend, ohio, usa";"69"
"45707";"juneau, alaska, usa";NULL
"46351";"paris, ile de france, france";"27"
"46443";"asheville, north carolina, usa";"14"
"46472";"seattle, washington, usa";NULL
"47117";"houston, texas, usa";"34"
"47316";"comanche, texas, usa";NULL
"47594";"scottsdale, arizona, usa";"52"
"47635";"kuala lumpur, kuala lumpur, malaysia";NULL
"48046";"central sq., new york, usa";NULL
"48057";"toronto, ontario, canada";NULL
"48226";"chesapeake, virginia, usa";"14"
"48440";"alexandria, virginia, usa";"42"
"48494";"lemon grove, california, usa";"51"
"48827";"philadelphia, pennsylvania, usa";"17"
"49109";"west jordan, utah, usa";"38"
"49168";"ivydale, west virginia, usa";"57"
"49300";"loveland, colorado, usa";NULL
"49314";"decatur, georgia, usa";NULL
"49422";"regensburg, bayern, germany";NULL
"49531";"juneau, alaska, usa";NULL
"49635";"seattle, washington, usa";NULL
"49679";"ames, iowa, usa";"36"
"49889";"orem, utah, usa";NULL
"49900";"catonsville, maryland, usa";"48"
"49980";"new hartford, new york, usa";"27"
"50143";"burtr�sk, v�sterbotten, sweden";"16"
"50225";"fresno, california, usa";NULL
"50539";"endicott, new york, usa";"42"
"50564";"carbondale, illinois, usa";"53"
"50610";"schwetzingen, baden-wuerttemberg, germany";"39"
"50612";"boulder, colorado, usa";NULL
"50730";"mcallen, texas, usa";NULL
"50849";"prince albert, saskatchewan, canada";"52"
"50951";"castle rock, colorado, usa";"20"
"50972";"shaker hts., ohio, usa";NULL
"51094";"milton, ontario, canada";NULL
"51165";"ottawa, ontario, canada";"35"
"51450";"lawrenceville, georgia, usa";"54"
"51464";"brisbane, queensland, australia";NULL
"51511";"amity, oregon, usa";"25"
"51526";"long beach, california, usa";"34"
"51627";"orange county, california, usa";"24"
"51665";"lebanon, pennsylvania, usa";"33"
"51883";"jasper, missouri, usa";"31"
"51926";"dallas, texas, usa";NULL
"51983";"n/a, n/a, usa";NULL
"52002";"bloomington, indiana, usa";NULL
"52021";"lodi, california, usa";"27"
"52100";"cary, north carolina,";NULL
"52159";"richmond, california, usa";"49"
"52325";"san rafael, california, usa";NULL
"52498";"amsterdam, noord holland, netherlands";NULL
"52584";"livermore, california, usa";"45"
"52614";"toccoa, ga., usa";"33"
"52790";"new orleans, louisiana, usa";NULL
"52853";"yuba city, california, usa";"61"
"53174";"orlando, florida, usa";"29"
"53220";"fullerton, california, usa";"36"
"53392";"minneapolis, minnesota, usa";"34"
"53456";"ne portland, oregon,";NULL
"53729";"balingup, western australia, australia";NULL
"53775";"st petersburg, florida, usa";"35"
"54208";"schertz, texas, usa";"52"
"54220";"carrollton, texas, usa";"16"
"54335";"north haven, connecticut, usa";"43"
"54403";"elizabethtown, pennsylvania, usa";NULL
"54453";"boise, idaho, usa";NULL
"54622";"kuala lumpur, federal territory, malaysia";NULL
"54812";"lakewood, colorado, usa";"41"
"54884";"nashua, new hampshire, usa";"33"
"55006";"calgary, alberta, canada";"34"
"55075";"seattle, washington, usa";"33"
"55398";"cheyenne, oklahoma, usa";NULL
"55490";"rapid city, south dakota, usa";"25"
"55492";"antioch, illinois, usa";"43"
"55502";"dingmans ferry, pennsylvania, usa";"16"
"55548";"chamblee, georgia, usa";NULL
"55734";"calgary, alberta, canada";"37"
"55789";"pittsburgh, pennsylvania, usa";"35"
"55799";"scarborough, ontario, canada";NULL
"55858";"dartmouth, nova scotia, canada";"28"
"55892";"plantersville, texas, usa";"45"
"55927";"roscoe, minnesota, usa";"17"
"56007";"norwich, connecticut, usa";"27"
"56102";"sammamish, washington, usa";NULL
"56198";"saint louis, missouri, usa";"41"
"56271";"leeds, england, united kingdom";"22"
"56307";"el segundo, california, usa";NULL
"56406";"coconut grove, florida, usa";"18"
"56447";"sturgis, michigan, usa";"22"
"56625";"merrifield, minnesota, usa";"26"
"56654";"fort worth, texas, usa";NULL
"56663";"seattle, washington, usa";"22"
"56791";"los alamos, new mexico, usa";"40"
"56856";"escondido, california, usa";"23"
"56959";"monroe twp., new jersey, usa";"52"
"56998";"n. bergen, new jersey, usa";"58"
"57234";"austin, texas, usa";NULL
"57528";"charlottenlund, ordrup, denmark";NULL
"57725";"wilmington, delaware, usa";"43"
"58191";"lakemont, new york, usa";NULL
"58258";"santa rosa, california, usa";"24"
"58363";"colorado springs, colorado, usa";"81"
"58556";"chesterfield, missouri, usa";NULL
"58792";"lakewood, california, usa";NULL
"58921";"cleves, ohio, usa";NULL
"59038";"san antonio, texas, usa";"28"
"59172";"owen sound, ontario, canada";"36"
"59209";"markham, ontario, canada";"41"
"59269";"indianapolis, indiana, usa";NULL
"59620";"arlington, virginia, usa";"25"
"59706";"fayetteville, tennessee, usa";"56"
"59727";"plano, texas, usa";"24"
"59820";"centreville, virginia, usa";"24"
"59912";"pasadena, california, usa";"27"
"59971";"kingwood, texas, usa";"27"
"60050";"brooklyn, new york, usa";"40"
"60244";"alvin, texas, usa";"47"
"60263";"middletown, delaware, usa";"52"
"60277";"boston, massachusetts, usa";NULL
"60427";"basingstoke, england, united kingdom";"37"
"60445";"houston, texas, usa";"31"
"60684";"seattle, washington, usa";NULL
"60895";"flemington, victoria, australia";"61"
"61028";"charleston, south carolina, usa";"50"
"61147";"ebensee, oberoesterreich, austria";"44"
"61427";"morgan hill, california, usa";NULL
"61619";"coburg, oregon, usa";NULL
"61774";"laingsburg,, michigan, usa";NULL
"61845";"las vegas, nevada, usa";NULL
"61852";"tucson, arizona, usa";"52"
"61901";"tucson, arizona, usa";"63"
"61917";"alpharetta, georgia, usa";NULL
"62069";"sherman oaks, california, usa";"68"
"62074";"essex, vermont, usa";NULL
"62239";"yarmouth, nova scotia, canada";"9"
"62339";"beaufort, victoria, australia";NULL
"62378";"santa barbara, california, usa";NULL
"62575";"westerville, ohio, usa";"55"
"62755";"dublin, texas, usa";"50"
"62881";"milwaukee, wisconsin, usa";"39"
"62966";"fairfax, virginia, usa";"23"
"63394";"eufaula, alabama, usa";"22"
"63452";"westfield, massachusetts, usa";"20"
"63865";"pomona, california, usa";"39"
"63956";"emporia, kansas, usa";"28"
"64310";"smyrna, georgia, usa";"46"
"64537";"harbor city, california, usa";NULL
"64836";"wilmington, north carolina, usa";"25"
"65032";"norwood, massachusetts, usa";"17"
"65387";"lexington, south carolina, usa";"36"
"65584";"tulsa, oklahoma, usa";"26"
"65665";"coffs harbour, new south wales, australia";"40"
"65710";"luzern, luzern, switzerland";"34"
"65769";"staten island, ,";"36"
"66073";"aptos, california, usa";"28"
"66455";"white bear lake, minnesota, usa";NULL
"66523";"ann arbor, michigan, usa";NULL
"66765";"barrie, ontario, canada";"39"
"66912";"padstow, england, united kingdom";"75"
"66942";"kuching, sarawak, malaysia";"31"
"67034";"vero beach, florida, usa";"57"
"67236";"hampton, georgia, usa";"38"
"67286";"calgary, alberta, canada";NULL
"67544";"toronto, ontario, canada";"30"
"67910";"east hanover, new jersey, usa";"35"
"67997";"lincoln city, oregon, usa";"53"
"68256";"chickasha, oklahoma, usa";"28"
"68344";"chicago, illinois, usa";"31"
"68436";"downieville, california, usa";"49"
"68555";"bad axe, michigan, usa";NULL
"68650";"waterloo, ontario, canada";"24"
"68760";"northampton, pennsylvania, usa";NULL
"68886";"miami, florida, usa";"37"
"69042";"drayton valley, alberta, canada";"55"
"69078";"new york, new york, usa";"42"
"69093";"caledonia, michigan, usa";"17"
"69149";"kingston, pennsylvania, usa";"52"
"69232";"mooresville, north carolina, usa";"55"
"69310";"orillia, ontario, canada";NULL
"69355";"syracuse, new york, usa";NULL
"69389";"nebraska city, nebraska, usa";"29"
"69405";"ede, gelderland, netherlands";"36"
"69406";"chorley, n/a, united kingdom";"56"
"69658";"bakersfield, california, usa";"39"
"69697";"west sacramento, california, usa";"24"
"69698";"land o lakes, florida, usa";"46"
"69709";"san juan capistrano, california, usa";NULL
"69929";"seattle, washington, usa";"71"
"69971";"pinehurst, north carolina, usa";"43"
"70052";"st. john`s, ontario, canada";"30"
"70138";"ottawa, ontario, canada";"28"
"70205";"fresno, california, usa";NULL
"70318";"lawrenceville, new jersey, usa";"31"
"70345";"grosse pointe, michigan, usa";NULL
"70415";"crescent city, florida, usa";"57"
"70435";"portland, oregon, usa";NULL
"70666";"warwick, rhode island, usa";"18"
"70713";"melbourne, victoria, australia";"49"
"71164";"washington, dc, usa";NULL
"71207";"oktaha, oklahoma, usa";NULL
"71234";"cumberland, maryland, usa";"30"
"71285";"ourense, ourense, spain";"28"
"71490";"west los angeles, california, usa";"23"
"71505";"new york, new york, usa";"23"
"71634";"marrero, louisiana, usa";"59"
"71662";"columbia, missouri, usa";"22"
"71884";"vancleave, mississippi, usa";"46"
"72005";"lacey, washington, usa";"66"
"72099";"el cajon, ,";"41"
"72145";"fairfax, virginia, usa";"29"
"72531";"clovis, california, usa";"48"
"72575";"paris, illinois, usa";"103"
"72992";"vanves, ile-de-france, france";"44"
"73142";"desertines, n/a, france";NULL
"73196";"little rock, arkansas, usa";"35"
"73303";"mullins, south carolina, usa";"40"
"73394";"san diego, california, usa";"33"
"73467";"winnipeg, manitoba, canada";"56"
"73469";"winnipeg, manitoba, canada";"56"
"73542";"frankville, ontario, canada";NULL
"73550";"glenside, pennsylvania, usa";NULL
"73651";"grapevine, texas, usa";NULL
"73681";"almada, set�bal, portugal";"27"
"73906";"orange county, california, usa";NULL
"73923";"montrose, california, usa";"29"
"74026";"san diego, california, usa";"21"
"74286";"pampa, texas, usa";"23"
"74413";"san jose, california, usa";NULL
"74547";"gatineau, quebec, canada";NULL
"74630";"castlegar, british columbia, canada";"20"
"74833";"hamburg, hamburg, germany";"35"
"75063";"roselle park, new jersey, usa";NULL
"75081";", illinois, usa";"29"
"75093";"canton, massachusetts, usa";"38"
"75591";"charleston, west virginia, usa";"33"
"75595";"amsterdam, noord-holland, netherlands";"35"
"75860";"buffalo, minnesota, usa";"30"
"76151";"sioux falls, south dakota, usa";"49"
"76168";"southborough, massachusetts, usa";NULL
"76223";"lisboa, lisboa, portugal";"25"
"76351";"clarksville, tennessee, usa";"34"
"76352";"olympia, washington, usa";"58"
"76483";"orange park, florida, usa";"37"
"76626";"london, england, united kingdom";"38"
"76660";"beavercreek, ohio, usa";"20"
"76888";"easley, south carolina, usa";"19"
"76915";"calgary, alberta,";NULL
"76942";"sacramento, california, usa";"25"
"77072";"donaueschingen, baden-wuerttemberg, germany";"39"
"77181";"louisville, kentucky, usa";"33"
"77370";"jamestown, new york, usa";NULL
"77383";"ottawa, ontario, canada";"25"
"77724";"mission viejo, california, usa";"43"
"77735";"juneau, alaska, usa";NULL
"77767";"e. stroudsburg, pennsylvania, usa";"44"
"78312";"columbus, ohio, usa";NULL
"78438";"belmont, california, usa";"19"
"78545";"southaven, mississippi, usa";"19"
"78722";"lakeland, florida, usa";"18"
"78783";"chantilly, virginia, usa";"49"
"78834";"honolulu, hawaii, usa";"28"
"78973";"amadora, lisboa, portugal";"29"
"79182";"greenville, north carolina, usa";"29"
"79186";"fairbanks, alaska, usa";"37"
"79719";"london, na, united kingdom";NULL
"79740";"st. louis, missouri, usa";"24"
"79743";"palm springs, california, usa";NULL
"79754";"athens, georgia, usa";"58"
"79852";"port coquitlam, british columbia, canada";NULL
"79854";"liverpool, merseyside, united kingdom";"29"
"79923";"toronto, ontario, canada";NULL
"79957";"madison, alabama, usa";"55"
"80538";"lisboa, lisboa, portugal";"32"
"80642";"st louis, missouri, usa";"43"
"80684";"hillsboro, oregon, usa";NULL
"80776";"portland, oregon, usa";"65"
"80810";"warrensburg, missouri, usa";"33"
"80945";"freiburg, baden-w�rttemberg, germany";"46"
"80954";"chicago, illinois, usa";NULL
"81207";"maia, porto, portugal";"20"
"81298";"savannah, georgia, usa";"20"
"81492";"san antonio, texas, usa";"28"
"81578";"kannapolis, north carolina, usa";"32"
"81739";"nashville, tennessee, usa";"49"
"81848";"springfield, illinois, usa";"35"
"81927";"cincinnati, ohio, usa";"17"
"81977";"minneapolis, minnesota, usa";"34"
"81980";"roanoke, virginia, usa";NULL
"82144";"tampa, florida, usa";"22"
"82159";"fair lawn, new jersey, usa";NULL
"82653";"abilene, texas, usa";"53"
"82699";"toronto, ontario, canada";"32"
"82797";"jacksonville, florida, usa";"27"
"82831";"nashville, tennessee, usa";"21"
"82893";"san antonio, texas, usa";"40"
"82926";"vista, california, usa";NULL
"83034";"fairbanks, alaska, usa";NULL
"83160";"oregon city, oregon, usa";"65"
"83214";"charlotte, north carolina, usa";NULL
"83496";"westfield, new jersey, usa";NULL
"83587";"paramount, california, usa";"16"
"83637";"raleigh, north carolina, usa";"57"
"84024";"abilene, texas, usa";"37"
"84459";"san diego, california, usa";NULL
"84786";"seattle, washington, usa";NULL
